2017-12-09 15:47:12,519 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-12-09 15:47:12,666 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5ad851c9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6156496, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3c153a1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@b62fe6d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@13acb0d1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3e3047e6]
2017-12-09 15:47:13,824 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [F:\ideaworkspace\liveshow\red5-parent-1.0.7-RELEASE\red5\target\classes\spring\spring-dao.xml]
2017-12-09 15:47:14,324 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [F:\ideaworkspace\liveshow\red5-parent-1.0.7-RELEASE\red5\target\classes\spring\spring-service.xml]
2017-12-09 15:47:14,788 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2017-12-09 15:47:14,872 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [F:\ideaworkspace\liveshow\red5-parent-1.0.7-RELEASE\red5\target\classes\spring\spring-web.xml]
2017-12-09 15:47:15,104 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@7770f470: startup date [Sat Dec 09 15:47:15 CST 2017]; root of context hierarchy
2017-12-09 15:47:15,400 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'anchorMapper' and 'org.liveshow.dao.AnchorMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,400 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'applicationMapper' and 'org.liveshow.dao.ApplicationMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'careMapper' and 'org.liveshow.dao.CareMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'danmakuMapper' and 'org.liveshow.dao.DanmakuMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'darkroomDanmakuMapper' and 'org.liveshow.dao.DarkroomDanmakuMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'darkroomRoomMapper' and 'org.liveshow.dao.DarkroomRoomMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'liveRecordMapper' and 'org.liveshow.dao.LiveRecordMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'moduleMapper' and 'org.liveshow.dao.ModuleMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'partMapper' and 'org.liveshow.dao.PartMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'recommendHomeMapper' and 'org.liveshow.dao.RecommendHomeMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'recommendModuleMapper' and 'org.liveshow.dao.RecommendModuleMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'roomMapper' and 'org.liveshow.dao.RoomMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,401 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'supermanagerMapper' and 'org.liveshow.dao.SupermanagerMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,402 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'org.liveshow.dao.UserMapper' mapperInterface. Bean already defined with the same name!
2017-12-09 15:47:15,402 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[org.liveshow.dao]' package. Please check your configuration.
2017-12-09 15:47:16,917 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/anchor/change]}" onto public org.liveshow.dto.Show org.liveshow.controller.AnchorController.changeShowState(int,int)
2017-12-09 15:47:16,919 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/danmaku/add]}" onto public org.liveshow.dto.Show org.liveshow.controller.DanmakuController.addDanmaku(int,int,java.lang.String)
2017-12-09 15:47:16,920 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/danmaku/addDarkDanmaku]}" onto public org.liveshow.dto.Show org.liveshow.controller.DanmakuController.addDarkRoom(int,int)
2017-12-09 15:47:16,922 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/directory/part]}" onto public java.lang.String org.liveshow.controller.DirectoryController.findAllPart(org.springframework.ui.Model)
2017-12-09 15:47:16,922 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/directory/partClass]}" onto public java.util.List<org.liveshow.entity.Module> org.liveshow.controller.DirectoryController.partClass(int)
2017-12-09 15:47:16,923 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/directory/module/{moduleId}]}" onto public java.lang.String org.liveshow.controller.DirectoryController.videoDirectory(int,org.springframework.ui.Model)
2017-12-09 15:47:16,924 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/directory/video/page]}" onto public org.liveshow.dto.Show org.liveshow.controller.DirectoryController.videoDirectory(int,int,int)
2017-12-09 15:47:16,925 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String org.liveshow.controller.IndexController.getIndex(org.springframework.ui.Model)
2017-12-09 15:47:16,929 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/liveShow/deleteCare]}" onto public org.liveshow.dto.Show org.liveshow.controller.LiveShowController.deleteCare(int,javax.servlet.http.HttpServletRequest)
2017-12-09 15:47:16,929 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/liveShow/addCare]}" onto public org.liveshow.dto.Show org.liveshow.controller.LiveShowController.addCare(int,javax.servlet.http.HttpServletRequest)
2017-12-09 15:47:16,930 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/liveShow/leave]}" onto public void org.liveshow.controller.LiveShowController.leavePage(int)
2017-12-09 15:47:16,930 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/liveShow/index/{roomId}]}" onto public java.lang.String org.liveshow.controller.LiveShowController.indexPage(int,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2017-12-09 15:47:16,933 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/person/liveRecordByTime],methods=[POST]}" onto public org.liveshow.dto.Show org.liveshow.controller.PersonController.getPersonalLiveRecordByTime(java.lang.String,java.lang.String,javax.servlet.http.HttpSession)
2017-12-09 15:47:16,933 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/person/liveSetting],methods=[GET]}" onto public java.lang.String org.liveshow.controller.PersonController.getPersonLiveSetting(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2017-12-09 15:47:16,933 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/person/liveRecord],methods=[GET]}" onto public java.lang.String org.liveshow.controller.PersonController.getPersonalLiveRecord(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2017-12-09 15:47:16,933 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/person/following],methods=[GET]}" onto public java.lang.String org.liveshow.controller.PersonController.getPersonalFollowing(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2017-12-09 15:47:16,934 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/person/unfollowing],methods=[POST]}" onto public org.liveshow.dto.Show org.liveshow.controller.PersonController.unfollowing(int,javax.servlet.http.HttpSession)
2017-12-09 15:47:16,935 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/recommend/presentModule]}" onto public java.lang.String org.liveshow.controller.RecommendModuleController.getPresent(org.springframework.ui.Model)
2017-12-09 15:47:16,935 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/recommend/handleInfo],methods=[POST]}" onto public java.lang.String org.liveshow.controller.RecommendModuleController.handleInfo(int,java.lang.String)
2017-12-09 15:47:16,937 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/supermanager/recoRoom]}" onto public org.liveshow.dto.Show org.liveshow.controller.SuperManagerController.addRecoRoom(int,int)
2017-12-09 15:47:16,938 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/supermanager/closure]}" onto public org.liveshow.dto.Show org.liveshow.controller.SuperManagerController.closureRoom(java.lang.Integer,java.lang.String,java.lang.Integer,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
